rstar,g,z,output gap
5.1013803440871,5.09079995204622,0.0105803920408803,-3.95972377758585
5.42725612593614,5.40633417363322,0.0209219523029224,-3.84461615147075
5.35059730853488,5.32778441075339,0.0228128977814835,-3.16563263775811
5.26184982679318,5.24345706664163,0.0183927601515456,-2.44374866730311
5.05057095659633,5.03273482537832,0.0178361312180175,-1.58661719719919
4.51237856109265,4.50646579461687,0.005912766475778,-0.886303358739383
4.36787033052851,4.3672011916722,0.000669138856302034,-0.491124549817528
3.92282518762787,3.94199776498508,-0.0191725773572091,-0.261250526832555
3.89801476563755,3.9125553380505,-0.0145405724129583,-0.0557325338061219
3.86476427432998,3.87630959967578,-0.0115453253458034,0.204449611169821
4.15851929018771,4.15810791113228,0.000411379055429368,0.577354942874763
3.91497436037017,3.91226229414026,0.00271206622991321,1.0178791872155
4.17769042184905,4.16961523484157,0.00807518700748503,1.25681806211867
4.09170684078236,4.09995380795483,-0.00824696717246156,1.47795104420618
4.17028816518336,4.18542196687981,-0.0151338016964425,1.65511169200022
3.93218410100923,3.96680819976643,-0.0346240987572024,1.6771772657147
4.2739029123176,4.28773540568302,-0.013832493365421,1.89457798198362
4.24994964615403,4.2718397587022,-0.0218901125481628,2.11041312006921
4.47619318667619,4.49363212324629,-0.0174389365701017,2.34712214938975
4.67393358340252,4.68527548503447,-0.011341901631947,2.72405778509847
4.88640927660323,4.87143378797165,0.0149754886315713,3.2661800417319
4.66642663104926,4.61496982446911,0.0514568065801504,3.62072722934511
4.65016943160507,4.58345347587245,0.0667159557326235,3.50084567363297
4.63558827210591,4.55598890494313,0.0795993671627765,3.33675841870308
4.59116933591071,4.56546932394721,0.0257000119634952,2.85431066840749
4.39182840766176,4.38153003298663,0.0102983746751275,2.53777910672181
4.42060428309476,4.38031516879826,0.0402891142965051,2.48776324191977
4.36812337527959,4.30539078401595,0.0627325912636439,2.55130783798904
4.57712466005673,4.46800550522071,0.10911915483602,2.91045146060242
4.63878123989161,4.51155298456359,0.127228255328021,3.31060362123958
4.51270902419486,4.40272963004665,0.109979394148212,3.39332706567541
4.37066697122715,4.26944176855777,0.101225202669373,3.26194620435103
4.47450968379866,4.39146121983974,0.0830484639589108,3.14072542913573
4.30960754523999,4.23026543241775,0.0793421128222379,3.06714476677234
4.2667549313103,4.20559851088942,0.0611564204208785,2.7277293932699
4.02740544605635,3.98482344876184,0.0425819972945022,2.13867419500787
3.90357150354168,3.89397868601079,0.00959281753088646,1.3150699184722
3.85002913463433,3.84732805512777,0.0027010795065558,0.67676390181191
3.91816050067103,3.91896252609179,-0.000802025420754127,0.296555277514472
3.5903765260644,3.54330843442019,0.0470680916442105,0.0788028679263562
4.00270427860576,3.93823057999148,0.0644736986142748,0.120028874377795
3.78441094745481,3.76070607835239,0.0237048691024143,0.376972037692099
3.62865909799061,3.67952859740562,-0.0508694994150093,0.433020961924399
3.32012155590964,3.52030776319778,-0.200186207288141,0.091472386097621
3.52097106505124,3.65882433882011,-0.13785327376887,0.560680722579946
3.63786387375342,3.83923764261592,-0.201373768862503,0.909534913070161
3.51863605736676,3.72735229097937,-0.208716233612616,1.38091158685904
3.58042964277275,3.82310163013594,-0.242671987363187,1.59033297013536
3.82150921707347,4.05318482921254,-0.231675612139068,2.05868925096934
3.93128683216692,3.97350151526252,-0.0422146830955974,2.94757269599347
3.68905082810883,3.70190683183489,-0.0128560037260566,2.73286750772763
3.87471731655528,3.82139416131411,0.0533231552411706,2.36528008976063
3.72589323651736,3.56919660362052,0.156696632896844,1.93634056488474
3.97889219155029,3.54358613374235,0.435306057807934,2.04688107126958
3.91376789303005,3.27110631591898,0.642661577111074,1.92945265328876
3.80527093535644,3.19191378041874,0.613357154937698,1.01559597928713
3.36186967856337,2.93149829074809,0.430371387815282,-0.239963060391347
3.21197320615585,3.00249554356692,0.209477662588921,-1.08263777713887
3.21243518759789,3.11020845068291,0.102226736914985,-0.866176318555972
3.15960369880408,3.06910833023218,0.0904953685718993,-0.145611375840303
3.27681454829789,3.21688624791917,0.0599283003787133,0.57201296162998
2.99540175005065,3.07179008885008,-0.0763883387994298,0.857942388030324
2.9207848526331,2.92836618074479,-0.00758132811169077,1.43893762179403
2.87041605088937,2.87321713096751,-0.00280108007814101,1.68987932692028
2.95274478411316,2.9034621886604,0.0492825954527581,2.12133707163832
3.09211194209447,3.06627534135316,0.0258366007413088,2.53147725295003
3.20959383736081,3.15448814250664,0.0551056948541769,3.21530950843464
2.87952127620603,2.93300981886201,-0.053488542655977,3.20330513941201
2.7881103182961,2.85300550641156,-0.0648951881154545,3.12765645048421
3.46282613442297,3.43348261189937,0.0293435225236037,3.77012998427176
3.37313038015483,3.35812660014594,0.0150037800088909,4.22414413599131
3.47659468652096,3.42867167140094,0.0479230151200195,4.46832456354434
3.19898122034379,3.34425425269323,-0.145273032349437,3.77319403510603
3.35363077449639,3.25284302271802,0.100787751778371,3.96646739434254
3.3782862515719,3.35788407500119,0.0204021765707066,3.25177915219956
3.42786986616527,3.3205584642976,0.107311401867675,3.00917810601118
3.59505194620162,3.31955337117013,0.275498575031491,2.84033018995842
3.12961762351206,2.93456480224095,0.195052821271107,1.51095464330911
3.1988772235526,3.00057249988391,0.198304723668685,0.36567050177257
3.61704148781185,3.30325454166989,0.313786946141964,0.32347601294714
3.79352686018881,3.53611384845336,0.257413011735457,0.269309508121978
3.37215459814542,3.29187301707458,0.0802815810708453,-0.605403073235607
3.55052419327674,3.53263721245877,0.0178869808179725,-1.45369867267038
3.23660708022726,3.30626461464076,-0.0696575344135012,-2.5800726864353
