gdp.log,inflation,inflation.expectations,interest
8.09494208341276,1.25592897544472,2.08588157739987,4.13868168856417
8.08953676736539,1.52031772664458,1.93149983159351,4.01693734066497
8.09441904243947,1.56448367523253,1.65973965740912,3.32801217594954
8.08150194144497,1.30120593630492,1.41048407840669,3.08826730421132
8.0882283139972,0.681347319225327,1.26683866435184,3.08826730421132
8.10506020231707,1.32034906901915,1.21684649994548,3.08826730421132
8.12407415594016,1.72810460886301,1.2577517333531,3.08826730421132
8.14349531895084,0.980062417835803,1.17746585373582,3.08826730421132
8.16117460345736,1.46666520332769,1.37379532476141,3.08826730421132
8.17017065559684,1.53150210597846,1.42658358400124,3.08826730421132
8.18238093626311,1.31238295879235,1.32265317148358,3.08826730421132
8.18566455504215,0.752933864958059,1.26587103326414,3.08826730421132
8.19652115166945,1.3243013232523,1.23028006324529,3.08826730421132
8.20767987541701,1.50372921073387,1.22333683943414,3.08826730421132
8.22942604867942,1.533990266589,1.27873866638331,3.52016272086786
8.23596067578719,1.93567641274091,1.57442430332902,3.61214702120936
8.25682403539565,1.67924281901483,1.66315967726965,3.61214702120936
8.26765253193406,1.19944792591983,1.58708935606614,3.61214702120936
8.28315475579867,1.10870341883695,1.48076764412813,3.61214702120936
8.28623871408942,1.00932795199298,1.24918052894115,3.83045027850397
8.31014811155419,1.50559428584884,1.20576839564965,4.11393354281484
8.32270196365472,1.25382344937543,1.21936227651355,4.22340672758386
8.34469094699191,1.22727522457452,1.24900522794794,4.22030338822723
8.36746992942753,1.32767038219055,1.32859083549734,4.31555186751478
8.39152066541538,2.00066866245631,1.4523594296492,4.73015341551317
8.39493086369318,3.23235370600106,1.94699199380561,5.10722738097908
8.40336425300351,3.27684368459583,2.45938410881094,5.63804232682092
8.41153485363603,3.46263741193996,2.99312586624829,5.79996368504172
8.42035139929235,2.19116299791101,3.04074945011196,5.00526084211861
8.42096418962424,2.66791736220107,2.89964036416197,4.12754487708111
8.43038092187613,3.60636313091966,2.98202022574292,4.02502276010723
8.43789280815175,4.03093200918347,3.1240938750538,4.32233401790263
8.45808268524796,4.52326046762696,3.70711824248279,4.97792157761681
8.47465263768535,4.63304171139922,4.19839932978233,6.25530345724659
8.48237232074459,4.43699569768728,4.40605747147423,6.21614948129967
8.48629780634569,4.63633583705105,4.55740842844113,6.18303330052348
8.50182774525538,4.35478482296929,4.51528951727671,6.88229431351561
8.50486308714722,4.75523400770177,4.54583759135235,8.81202109932386
8.51144651083203,4.57421462393032,4.58014232291311,9.53251867643343
8.50655763384886,4.68471436142362,4.59223695400625,9.48751405496477
8.50507182356682,4.33845756064783,4.58815513842588,9.06526949523405
8.50649011732295,4.48694614959346,4.52108317389881,8.32440992256143
8.51566342191531,4.42004773986953,4.48254145288361,7.04056891550984
8.50488920689207,5.59263716670421,4.70952215420376,5.80544304768018
8.53168684907831,5.02865064195584,4.88207042453076,3.99227211201898
8.53708346193046,4.54358282776431,4.89622959407347,4.73938644601943
8.5452794536921,3.74300275677027,4.72696834829866,5.708488493316
8.54763451674106,2.28942449598005,3.90116518061762,4.93164107518056
8.56585706189667,3.80994808517867,3.59648954142333,3.66687508998653
8.58830102479373,2.69847973923512,3.13521376929103,4.45553334357642
8.59770052959384,2.98222942001241,2.94502043510156,4.92493503923246
8.61430647192973,2.51645779657868,3.00177876025122,5.35730599422781
8.63875326286171,2.78232728466154,2.74487356012193,6.8497951384024
8.64958105546111,5.40371629049051,3.42118269793578,8.24709139442608
8.64430819296019,5.26747751760253,3.99249472233331,11.2964002013152
8.65375558591012,5.54233932111739,4.74896510346799,10.6649907480456
8.64512068649636,6.81669889965629,5.75755800721668,9.92579760614494
8.64749469857194,9.81480521021081,6.86033023714676,12.080969305548
8.63799832260494,11.2344257323283,8.35206729082819,13.0478748699444
8.63410936256524,9.69471273119702,9.3901606433481,9.93742234351107
8.62186180776693,7.73666955328644,9.62015330675563,6.60120211370845
8.62898176278495,6.04808648371085,8.67847362513064,5.64628155281957
8.64595344523797,5.94527812641685,7.35618672365279,6.44320790586752
8.65932883606886,6.47798394239989,6.55200452645351,5.64374614130416
8.68156731896942,6.03538558500132,6.12668353438223,5.01640417773861
8.688877539844,4.76469087025365,5.80583463101792,5.4108115058346
8.69434959842774,6.19568177973365,5.86843554434712,5.50275414735457
8.70157196402326,6.2338177606532,5.80739399891045,5.06388347611704
8.71331754974965,6.66280253664351,5.964248236821,4.8370869236543
8.73257211588503,6.0806343497995,6.29323410670747,5.3692501894202
8.75045482188932,6.58018350082321,6.38935953697986,6.07416189465066
8.75047667936968,5.78955778469438,6.27829454299015,6.82612823138349
8.75366322933669,6.19790225535194,6.16206947266726,7.08907516981534
8.79157799576387,6.83528084867937,6.35073109738723,7.66409670284052
8.80158295014605,6.7779867000069,6.40018189718315,8.5539609316907
8.81493484617877,7.14390640409475,6.73876905203324,10.2005781367464
8.81673110481581,5.43983780564129,6.54925293960558,10.7519273953832
8.81779973194363,8.6886337437794,7.01259116338058,10.8719761243496
8.82520098961846,7.2845309582806,7.13922722794901,11.7302073746186
8.82769861828828,8.29148302456385,7.42612138306628,14.7596853425867
8.83083887327767,9.66099686906415,8.481411148922,16.5008970299581
8.81001891259668,8.8521305727851,8.52228535617342,13.7025862214157
8.80882973463175,8.7691806676369,8.8934477835125,10.4734903194057
8.82730722555059,9.6648728750155,9.23679524612541,17.4332817288888
8.84671202334012,8.76923847173568,9.01385564679329,18.3148296949793
8.83927379203043,7.50122207729351,8.6761285229204,19.7585384379371
8.8511779081522,7.26832892974503,8.30091558844743,19.5246418716374
8.84022247507422,7.07460671189083,7.65334904766626,14.7697996733129
8.82456509068482,5.822161031159,6.91657968752209,15.4915483091199
8.82911670152355,5.37382643613544,6.38473077723258,15.8484131194588
8.8252863824664,6.34202087432058,6.15315376337646,11.81271153095
8.82568576544118,5.54683361373868,5.77121048883842,9.87288138582316
8.83877816054279,5.21330678759301,5.61899692794693,9.17403475919263
8.86127922651456,3.05472539394952,5.03922166740045,9.33275014212065
8.88107268018358,6.01133723894194,4.95655075855579,10.0651625070476
8.90172021984608,3.20602564109815,4.37134876539565,10.032668059341
8.92107932025916,4.01991554539048,4.07300095484502,10.3205861818951
8.93820968084411,4.65659808818243,4.47346912840325,11.2924037153987
8.9478041427236,3.73022986866991,3.90319228583524,12.2404877096445
8.95597920710337,2.84829248477517,3.8137589967545,9.84758389523117
8.96562327621725,5.4099381825379,4.16126465604135,8.9725664710032
8.97438940472548,3.46314100586218,3.86290038546129,8.36447798432511
8.98954518609214,4.07499682749457,3.94909212516746,8.33804851062549
8.99695096890625,2.86985230615189,3.95448208051163,8.56245324172444
9.00624291185687,4.30286579200266,3.67771398287783,8.25656394144354
9.01073657384329,2.72511594685457,3.49320771812592,7.26653914428783
9.02026100100679,2.72866190093766,3.1566239864867,6.49822921903473
9.02561649191299,3.24543741773213,3.25052026438176,6.56196736319743
9.03303907257601,2.51165842198553,2.80271842187747,6.51322715037193
9.04376971589713,3.85492500669655,3.08517068683797,6.97657119610944
9.05240796709892,3.54529550369082,3.28932908752626,7.17959503176706
9.0694325833699,4.06310826785841,3.49374680005783,7.26643004523002
9.07458582425837,3.8476008105586,3.82773239720109,6.99063386900614
9.08763926239583,4.81278442385918,4.06719725149175,7.5242277310148
9.09348144669825,4.56181996797918,4.32132836756384,8.42737254641282
9.10671845519018,4.46486511377898,4.42176757904398,8.96750250119056
9.11683310594565,4.34326876392678,4.54568456738603,10.049547272639
9.12443678116481,3.61966731027361,4.24740528898964,10.3639720728151
9.13181824097308,2.95369886859763,3.84537501414425,9.64637941019688
9.13378681180841,3.65686592177456,3.64337521614315,9.12525468856085
9.14465548734833,4.58083500893064,3.70276677739411,8.72370147666122
9.14827803589371,4.44192262478372,3.90833060602164,8.7152201930407
9.14894293911821,4.00824781825642,4.17196784343633,8.62371318095267
9.1397972995484,3.36100344233982,4.09800222357765,8.16557929941253
9.13510764444529,3.53016171040619,3.83533389894654,6.73865029135481
9.14287458390361,3.0766685046598,3.49402036891556,6.12352516450534
9.14791524271861,3.56792221416254,3.38393896789209,5.89035102668907
9.15139482098104,3.15045602694806,3.33130211404415,5.00451004210012
9.16329530423984,3.0480020436502,3.21076219735515,4.16246739817483
9.17408014425818,2.81786262364827,3.14606072710227,3.89672387037414
9.1839127175709,2.35497880227139,2.84282487412948,3.35727903459997
9.1942875115087,2.92660947075879,2.78686323508216,3.1259891468242
9.19595590987726,2.74659151666793,2.71151060333659,3.13042880688412
9.20176016707163,3.02691763421082,2.76377435597723,3.08826730421132
9.20652038510788,2.22004972713445,2.73004208719299,3.15065212715508
9.22002948059498,2.05716189431533,2.51268019308213,3.07747593572492
9.22968583596561,1.82067461088992,2.28120096663763,3.31018533381842
9.24314583983808,2.67772053816612,2.19390169262645,4.07616851691912
9.24897418216638,2.22189142625668,2.19436211740701,4.65093182568097
9.26036425099686,2.02895849359884,2.18731126722789,5.37623080728968
9.26390493009039,2.09659678442042,2.25629181061051,6.06320686196729
9.26688354659529,2.36462181319007,2.1780171293665,6.2930689393315
